Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.907623, sog_mes=0.000000, toa=1422.606598, id=1, nb_error= 27, nb_r=59, perc.=0.457627 
Alert21: RI is a multiple of the RI specified by standard (ship at anchor), channel=1, mmsi=310805000, delta t=359.981079, sog_mes=0.000000, toa=1430.360077, id=3, nb_error= 1, nb_r=4 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=20.061127, sog_mes=0.100000, toa=1442.800049, id=1, nb_error= 17, nb_r=68, perc.=0.250000 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.953064, sog_mes=0.000000, toa=1452.080139, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=29.978516, sog_mes=0.300000, toa=1472.778564, id=1, nb_error= 17, nb_r=66, perc.=0.257576 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227002630, delta t=30.719391, sog_mes=0.000000, toa=1477.801575, id=1, nb_error= 3, nb_r=85, perc.=0.035294 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.898163, sog_mes=0.000000, toa=1482.598389, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227347000, delta t=20.358124, sog_mes=0.000000, toa=1492.800049, id=1, nb_error= 11, nb_r=75, perc.=0.146667 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.382965, sog_mes=0.000000, toa=1511.882233, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.902832, sog_mes=0.000000, toa=1542.601959, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227347000, delta t=20.358429, sog_mes=0.000000, toa=1552.800018, id=1, nb_error= 11, nb_r=75, perc.=0.146667 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006650, delta t=49.818573, sog_mes=0.000000, toa=1557.759949, id=1, nb_error= 3, nb_r=80, perc.=0.037500 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=20.061066, sog_mes=0.300000, toa=1562.799957, id=1, nb_error= 16, nb_r=70, perc.=0.228571 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.382477, sog_mes=0.000000, toa=1571.881836, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006650, delta t=21.034454, sog_mes=0.000000, toa=1589.018005, id=1, nb_error= 4, nb_r=76, perc.=0.052632 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.947021, sog_mes=0.000000, toa=1602.445801, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.382690, sog_mes=0.000000, toa=1631.881927, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.951233, sog_mes=0.000000, toa=1662.450195, id=1, nb_error= 28, nb_r=59, perc.=0.474576 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=20.260223, sog_mes=0.300000, toa=1672.920868, id=1, nb_error= 13, nb_r=73, perc.=0.178082 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=29.859314, sog_mes=0.200000, toa=1712.658936, id=1, nb_error= 13, nb_r=70, perc.=0.185714 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227002630, delta t=20.502838, sog_mes=0.000000, toa=1717.401794, id=1, nb_error= 4, nb_r=82, perc.=0.048780 
