Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=725 , toa=1646.520813, slot_increment = 76, keep_flag = 0, nb_error= 7, nb_r=87, perc.=0.080460
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=820 , toa=1649.060272, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=76, perc.=0.289474
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=1029 , toa=1654.639984, slot_increment = 0, keep_flag = 0, nb_error= 8, nb_r=91, perc.=0.087912
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=1475 , toa=1666.521667, slot_increment = 300, keep_flag = 0, nb_error= 9, nb_r=96, perc.=0.093750
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=1546 , toa=1668.418823, slot_increment = 834, keep_flag = 0, nb_error= 5, nb_r=9, 
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=1632 , toa=1670.719666, slot_increment = -1, keep_flag = -1, nb_error= 10, nb_r=98, perc.=0.102041
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=1656 , toa=1671.359161, slot_increment = 0, keep_flag = 0, nb_error= 6, nb_r=10, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1899 , toa=1677.827179, slot_increment = -1, keep_flag = -1, nb_error= 23, nb_r=79, perc.=0.291139
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=1918 , toa=1678.339752, slot_increment = 872, keep_flag = 0, nb_error= 7, nb_r=11, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=2007 , toa=1680.719604, slot_increment = 0, keep_flag = 0, nb_error= 8, nb_r=12, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=372430000, mes id = 3, TS=2071 , toa=1682.418762, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
